,s_2,s_3,s_4,s_6,s_7,s_8,s_9,s_11,s_12,s_13,s_14,s_15,s_17,s_20,s_21,rul
0,643.86,1612.86,1393.95,21.6,554.62,2388.08,9145.19,47.65,521.64,2388.13,8199.43,8.57,398.99,38.96,23.41,63.97035523141178
1,643.23,1571.79,1396.64,21.6,554.84,2388.0,9111.08,47.07,519.2,2388.56,8142.23,8.46,398.07,38.93,23.11,93.6823033110202
2,643.33,1595.09,1411.49,21.61,551.67,2388.41,9139.12,48.14,520.57,2388.49,8154.84,8.42,397.69,39.33,22.94,40.23696750946113
3,644.36,1595.17,1387.35,21.6,553.97,2388.49,9099.48,46.96,518.78,2388.19,8112.17,8.39,399.65,39.3,23.51,116.2905717902257
4,642.1,1595.8,1404.48,21.61,553.03,2388.34,9140.2,46.92,520.74,2388.51,8280.31,8.51,391.41,39.09,23.36,70.26630008495533
5,642.39,1602.59,1392.08,21.6,555.32,2388.45,9095.35,47.23,522.88,2388.12,8233.0,8.57,395.06,38.99,23.52,90.10844085958537
6,642.67,1613.42,1405.85,21.61,554.1,2388.5,9129.26,47.21,523.15,2388.51,8128.55,8.55,395.69,38.7,23.34,106.7313079480828
7,642.14,1607.09,1400.46,21.6,551.25,2388.02,9083.29,47.78,520.64,2388.0,8275.66,8.35,389.51,38.78,23.44,63.33906438386265
8,644.48,1613.93,1422.8,21.6,554.51,2388.14,9087.29,47.24,521.43,2388.05,8129.47,8.52,389.51,39.16,23.01,84.53147286753222
9,643.68,1574.46,1438.53,21.6,553.09,2388.02,9075.23,48.19,522.13,2388.33,8287.4,8.49,397.12,38.26,22.99,34.77120427579371
10,642.94,1574.63,1386.39,21.6,552.72,2388.44,9149.5,48.12,518.93,2387.99,8293.72,8.38,398.68,38.3,23.62,50.710266729078675
11,641.39,1610.97,1386.53,21.6,555.58,2388.29,9061.93,47.12,520.53,2388.5,8258.78,8.42,394.63,38.89,23.22,110.55261008161884
12,643.49,1575.61,1413.7,21.61,551.74,2388.55,9150.31,48.32,522.2,2388.31,8106.8,8.52,398.0,39.33,23.53,58.79936926277508
13,643.97,1615.97,1426.31,21.61,555.96,2388.34,9132.55,47.13,522.58,2388.48,8114.86,8.49,390.98,38.95,23.06,88.96192827593313
14,643.54,1585.57,1401.73,21.6,550.31,2388.32,9071.57,47.94,521.09,2388.54,8154.21,8.47,396.63,38.29,23.24,54.38866975179654
15,643.18,1614.36,1408.96,21.6,555.11,2388.19,9022.45,47.43,521.5,2388.45,8145.26,8.5,393.8,38.76,23.12,108.99954525830104
